tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
Don’t even mentioned him or Doritos #Riverdale,False,en,0,0,2021-02-25 01:04:45,1364743099470147588,"['even', 'mentioned', 'doritos', 'riverdale']",even mentioned doritos riverdale
lmao hiram eating doritos #riverdale,False,en,0,0,2021-02-25 01:04:40,1364743080042233857,"['lmao', 'hiram', 'eating', 'doritos', 'riverdale']",lmao hiram eating doritos riverdale
That blatant Doritos product placement was weird. #Riverdale,False,en,0,0,2021-02-25 01:04:39,1364743075864666113,"['blatant', 'doritos', 'product', 'placement', 'weird', 'riverdale']",blatant doritos product placement weird riverdale
I refuse to believe that Hiram Lodge eats something as delightful as Doritos for a snack #Riverdale #productplacement,False,en,8,0,2021-02-25 01:04:35,1364743058802286594,"['refuse', 'believe', 'hiram', 'lodge', 'eats', 'something', 'delightful', 'doritos', 'snack', 'riverdale', 'productplacement']",refuse believe hiram lodge eats something delightful doritos snack riverdale productplacement
#Riverdale HIRAM EATING DORITOS I CANT 😭,False,en,2,0,2021-02-25 01:04:31,1364743040263454721,"['riverdale', 'hiram', 'eating', 'doritos', 'cant']",riverdale hiram eating doritos cant
the blatant product placement of the doritos is painfully out of place on #Riverdale,False,en,0,0,2021-02-25 01:04:28,1364743030998241282,"['blatant', 'product', 'placement', 'doritos', 'painfully', 'place', 'riverdale']",blatant product placement doritos painfully place riverdale
I don't believe for one minute that Hiram Lodge eats Doritos #Riverdale,False,en,2,0,2021-02-25 01:04:27,1364743023997894659,"['believe', 'one', 'minute', 'hiram', 'lodge', 'eats', 'doritos', 'riverdale']",believe one minute hiram lodge eats doritos riverdale
That Doritos product placement #Riverdale,False,en,0,0,2021-02-25 01:04:26,1364743020449562627,"['doritos', 'product', 'placement', 'riverdale']",doritos product placement riverdale
RT @ErinHmm: #Riverdale Hiram evilly eating Doritos is the highlight of my day.,False,en,0,1,2021-02-25 01:04:20,1364742994545549312,"['riverdale', 'hiram', 'evilly', 'eating', 'doritos', 'highlight', 'day']",riverdale hiram evilly eating doritos highlight day
DID THEY GET A DORITOS SPONSORSHIP #Riverdale,False,en,1,0,2021-02-25 01:04:13,1364742968272429057,"['get', 'doritos', 'sponsorship', 'riverdale']",get doritos sponsorship riverdale
How much money did Doritos pay for that shot in #Riverdale? The camera lingered for a long ass time lol.,False,en,2,0,2021-02-25 01:04:11,1364742957870546947,"['much', 'money', 'doritos', 'pay', 'shot', 'riverdale', 'camera', 'lingered', 'long', 'ass', 'time', 'lol']",much money doritos pay shot riverdale camera lingered long ass time lol
"God, all I want is Hiram Lodge to feed me Doritos
#Riverdale",False,en,1,0,2021-02-25 01:04:09,1364742947649052673,"['god', 'want', 'hiram', 'lodge', 'feed', 'doritos', 'riverdale']",god want hiram lodge feed doritos riverdale
#Riverdale Hiram evilly eating Doritos is the highlight of my day.,False,en,0,1,2021-02-25 01:04:04,1364742926803210244,"['riverdale', 'hiram', 'evilly', 'eating', 'doritos', 'highlight', 'day']",riverdale hiram evilly eating doritos highlight day
That bag of Doritos #Riverdale,False,en,1,0,2021-02-25 01:03:59,1364742906326704128,"['bag', 'doritos', 'riverdale']",bag doritos riverdale
I hope Hiram chokes on those Doritos #Riverdale,False,en,1,0,2021-02-25 01:03:55,1364742892548415488,"['hope', 'hiram', 'chokes', 'doritos', 'riverdale']",hope hiram chokes doritos riverdale
Not the Doritos  #Riverdale,False,en,3,0,2021-02-25 01:03:55,1364742891210440706,"['doritos', 'riverdale']",doritos riverdale
CRYING AT THE DORITOS SPONSOR 😂😂😂😂😂 #Riverdale,False,en,1,0,2021-02-25 01:03:52,1364742876744286209,"['crying', 'doritos', 'sponsor', 'riverdale']",crying doritos sponsor riverdale
This episode sponsored by Doritos. #Riverdale,False,en,0,0,2021-02-25 01:03:47,1364742855890259972,"['episode', 'sponsored', 'doritos', 'riverdale']",episode sponsored doritos riverdale
Hiram and that sweet Doritos product placement. #Riverdale,False,en,0,0,2021-02-25 01:03:46,1364742852685799426,"['hiram', 'sweet', 'doritos', 'product', 'placement', 'riverdale']",hiram sweet doritos product placement riverdale
