tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
"🏆 RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

#riverdale #varchie #bughead #choni #beronica #archosie #barchie #falice #mevin #kangs #cheronica https://t.co/LC6cvSQjU3",True,en,5,1,2021-02-22 23:41:01,1363997252398637056,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'riverdale', 'varchie', 'bughead', 'choni', 'beronica', 'archosie', 'barchie', 'falice', 'mevin', 'kangs', 'cheronica']",riverdale best ship vote ur faves riverdale varchie bughead choni beronica archosie barchie falice mevin kangs cheronica
@SpicyHalo_ We wuz kangs,False,en,0,0,2021-02-22 23:39:03,1363996756594294790,"['wuz', 'kangs']",wuz kangs
"wait I wanna do this too I’m bored 🙎🏼‍♀️

Vote: #Riverdale Best Ships* 
Time: 2 hours, 1:35 AM here (unless I fall asleep then all night)

#varchie #bughead #choni #beronica #archosie #barchie #falice #mevin #kangs #cheronica 

https://t.co/YxWUhUOWLD",False,en,6,2,2021-02-22 23:34:16,1363995555089829895,"['wait', 'wanna', 'bored', 'vote', 'riverdale', 'best', 'ships', 'time', '2', 'hours', '1', '35', 'unless', 'fall', 'asleep', 'night', 'varchie', 'bughead', 'choni', 'beronica', 'archosie', 'barchie', 'falice', 'mevin', 'kangs', 'cheronica']",wait wanna bored vote riverdale best ships time 2 hours 1 35 unless fall asleep night varchie bughead choni beronica archosie barchie falice mevin kangs cheronica
@riverrvixenss i think it’s kangs’ baby and she’s the surrogate 👀,False,en,1,0,2021-02-22 23:33:10,1363995278051794946,"['think', 'kangs', 'baby', 'surrogate']",think kangs baby surrogate
a kangs baby.. oh lord,False,en,1,0,2021-02-22 23:31:44,1363994916964233220,"['kangs', 'baby', 'oh', 'lord']",kangs baby oh lord
and kangs was nowhere to be seen,False,en,5,0,2021-02-22 23:15:27,1363990818411802624,"['kangs', 'nowhere', 'seen']",kangs nowhere seen
in tears that kangs didn’t even make top ten on that list,False,en,11,0,2021-02-22 23:10:03,1363989458039812098,"['tears', 'kangs', 'even', 'make', 'top', 'ten', 'list']",tears kangs even make top ten list
KANGS IN THE TOP THREE??????????,False,en,2,0,2021-02-22 22:57:15,1363986239196659720,"['kangs', 'top', 'three']",kangs top three
KANGS BEAT BARCHIE I’M CALLING IT,False,en,1,0,2021-02-22 22:54:13,1363985476793880576,"['kangs', 'beat', 'barchie', 'calling']",kangs beat barchie calling
@saintopacio @chonicarrington OH NO I FORGOT ABOUT KANGS,False,en,0,0,2021-02-22 22:54:05,1363985442333409290,"['oh', 'forgot', 'kangs']",oh forgot kangs
@chonicarrington it’s kangs huh,False,en,0,0,2021-02-22 22:53:42,1363985344841080835,"['kangs', 'huh']",kangs huh
@tcpazs no problem! i think we confirmed kangs surrogacy today 😌,False,en,2,0,2021-02-22 22:28:52,1363979095755874305,"['problem', 'think', 'confirmed', 'kangs', 'surrogacy', 'today']",problem think confirmed kangs surrogacy today
@NEPTUNEPRlNCE BBC Kangs,False,en,1,0,2021-02-22 22:03:39,1363972747462778886,"['bbc', 'kangs']",bbc kangs
The thing with Toni being Kangs surrogate mother is why would she wanna keep that a secret?,False,en,2,0,2021-02-22 21:44:20,1363967888005074944,"['thing', 'toni', 'kangs', 'surrogate', 'mother', 'would', 'wanna', 'keep', 'secret']",thing toni kangs surrogate mother would wanna keep secret
I hate kangs sm pls why are y’all even shipping them ?! And don’t tell me they’re cute or in love or have chemistry because that’s a big lie!,False,en,3,0,2021-02-22 20:51:56,1363954699511214084,"['hate', 'kangs', 'sm', 'pls', 'even', 'shipping', 'tell', 'cute', 'love', 'chemistry', 'big', 'lie']",hate kangs sm pls even shipping tell cute love chemistry big lie
"WATCH: Riverdale Time Jump - ""Kevin Keller""! https://t.co/S4tXQW1vLd 

#barchie #kangs #riverdale #varchie https://t.co/GyXmRpaD0X",False,en,0,0,2021-02-22 20:37:42,1363951119878258691,"['watch', 'riverdale', 'time', 'jump', 'kevin', 'keller', 'barchie', 'kangs', 'riverdale', 'varchie']",watch riverdale time jump kevin keller barchie kangs riverdale varchie
"@BlackPowerBA Yeah like the bastardize the terms ""woke"" or ""we wuz kangs"" to mock us! They literally toll twitter with these tropes",False,en,1,0,2021-02-22 19:54:22,1363940213630853124,"['yeah', 'like', 'bastardize', 'terms', 'woke', 'wuz', 'kangs', 'mock', 'us', 'literally', 'toll', 'twitter', 'tropes']",yeah like bastardize terms woke wuz kangs mock us literally toll twitter tropes
"RT @8plus9: “Stop being weak, remember who you are, get what you want” is my mandate.

“You are weak and your duty is to serve your masculi…",False,en,0,47,2021-02-22 19:47:44,1363938545501499392,"['stop', 'weak', 'remember', 'get', 'want', 'mandate', 'weak', 'duty', 'serve', 'masculi']",stop weak remember get want mandate weak duty serve masculi
@Bradjstone80 We wuz kangs and shiz,False,en,0,0,2021-02-22 19:45:13,1363937910504919044,"['wuz', 'kangs', 'shiz']",wuz kangs shiz
@Elli_Cloud i could do your ia for kangs,False,en,0,0,2021-02-22 19:33:51,1363935049150849033,"['could', 'ia', 'kangs']",could ia kangs
"RT @JacksonBFelts: This is such an amazing and inspiring story. Well done by Sounders, Timbers, and LAFC fans, and by Riley (Go Kangs!) to…",True,en,0,1,2021-02-22 19:28:00,1363933577293959168,"['amazing', 'inspiring', 'story', 'well', 'done', 'sounders', 'timbers', 'lafc', 'fans', 'riley', 'go', 'kangs']",amazing inspiring story well done sounders timbers lafc fans riley go kangs
"RT @livetweetdisbih: if she was a surrogate why would she say ""I'm having a baby"" also if it was kangs why when archie asked what was up wi…",True,en,0,1,2021-02-22 18:59:56,1363926516372041730,"['surrogate', 'would', 'say', 'baby', 'also', 'kangs', 'archie', 'asked', 'wi']",surrogate would say baby also kangs archie asked wi
"if she was a surrogate why would she say ""I'm having a baby"" also if it was kangs why when archie asked what was up with them they didn't just say that then cause i don't see why it would need to be a secret https://t.co/wtcIKKuFiw",True,en,8,1,2021-02-22 18:55:39,1363925437706043396,"['surrogate', 'would', 'say', 'baby', 'also', 'kangs', 'archie', 'asked', 'say', 'cause', 'see', 'would', 'need', 'secret']",surrogate would say baby also kangs archie asked say cause see would need secret
"i think she’s a surrogate, the only reason she hasn’t told anyone (even cheryl) is just out of respect for kangs bc they’re not ready to announce it yet https://t.co/nU0X2fh9h8",True,en,7,0,2021-02-22 18:29:21,1363918819115294726,"['think', 'surrogate', 'reason', 'told', 'anyone', 'even', 'cheryl', 'respect', 'kangs', 'bc', 'ready', 'announce', 'yet']",think surrogate reason told anyone even cheryl respect kangs bc ready announce yet
RT @HenryDeSagu: Glory to God and Big Thanks to everyone for Huge Support. Finally we have more than *500K SUBSCRIBERS ON YOUTUBE*. It has…,False,en,0,5,2021-02-22 18:27:55,1363918456383488008,"['glory', 'god', 'big', 'thanks', 'everyone', 'huge', 'support', 'finally', '500k', 'subscribers', 'youtube']",glory god big thanks everyone huge support finally 500k subscribers youtube
@cappuchoni I think if she’s a surrogate then the reason she wouldn’t have said anything might be bc it wasn’t a formal process &amp; she &amp; Kangs don’t want to discuss it until the formal adoption is done after the baby is born. Bc if something goes wrong with adoption approval she’d keep it🤷🏻‍♀️,False,en,0,0,2021-02-22 18:23:15,1363917283114897408,"['think', 'surrogate', 'reason', 'said', 'anything', 'might', 'bc', 'formal', 'process', 'amp', 'amp', 'kangs', 'want', 'discuss', 'formal', 'adoption', 'done', 'baby', 'born', 'bc', 'something', 'goes', 'wrong', 'adoption', 'approval', 'keep']",think surrogate reason said anything might bc formal process amp amp kangs want discuss formal adoption done baby born bc something goes wrong adoption approval keep
"@cappuchoni But would just saying she’s a surrogate immediate give it away? I feel like the moment she announces that the friend group would immediately think, Kangs. But I t is Riverdale &amp; who knows what it will be.",False,en,0,0,2021-02-22 18:14:06,1363914981645901824,"['would', 'saying', 'surrogate', 'immediate', 'give', 'away', 'feel', 'like', 'moment', 'announces', 'friend', 'group', 'would', 'immediately', 'think', 'kangs', 'riverdale', 'amp', 'knows']",would saying surrogate immediate give away feel like moment announces friend group would immediately think kangs riverdale amp knows
"This is such an amazing and inspiring story. Well done by Sounders, Timbers, and LAFC fans, and by Riley (Go Kangs!) to share the donations with others in need. Just heart-warming all around. Tip your delivery drivers! And thanks to @JaydaEvans for writing the great story too! https://t.co/PAC7NzJY7U",True,en,8,1,2021-02-22 18:08:56,1363913680774029315,"['amazing', 'inspiring', 'story', 'well', 'done', 'sounders', 'timbers', 'lafc', 'fans', 'riley', 'go', 'kangs', 'share', 'donations', 'others', 'need', 'heart', 'warming', 'around', 'tip', 'delivery', 'drivers', 'thanks', 'writing', 'great', 'story']",amazing inspiring story well done sounders timbers lafc fans riley go kangs share donations others need heart warming around tip delivery drivers thanks writing great story
"@cappuchoni @blossomsvoid My thought is, if she is a surrogate, it’s not necessarily her place to disclose that. If it is Kangs, it could be up to them to reveal the information. I feel like that would be something Toni would do, letting Kangs make the announcement. At least that’s what I hope it is lol",False,en,3,0,2021-02-22 18:07:27,1363913306809982979,"['thought', 'surrogate', 'necessarily', 'place', 'disclose', 'kangs', 'could', 'reveal', 'information', 'feel', 'like', 'would', 'something', 'toni', 'would', 'letting', 'kangs', 'make', 'announcement', 'least', 'hope', 'lol']",thought surrogate necessarily place disclose kangs could reveal information feel like would something toni would letting kangs make announcement least hope lol
RT @KHud1013: @VelleyVelle_ These Kangs speaking !!!!! https://t.co/C4Oj3URWFD,False,en,0,2,2021-02-22 17:40:26,1363906507713114114,"['kangs', 'speaking']",kangs speaking
KANGS SURROGACY Y’ALL LET’S GO,False,en,1,0,2021-02-22 17:33:59,1363904883548696576,"['kangs', 'surrogacy', 'let', 'go']",kangs surrogacy let go
"""can't give the details of who the father is or what the deal is there"" ""she always had a desire to help people"" SHES DEFINITELY KANGS’ SURROGATE",False,en,96,9,2021-02-22 17:28:47,1363903577610190851,"['give', 'details', 'father', 'deal', 'always', 'desire', 'help', 'people', 'shes', 'definitely', 'kangs', 'surrogate']",give details father deal always desire help people shes definitely kangs surrogate
@ruchikokcha Hahahaha she is a hypocrite! Stupid lady 😂😂 kangs gone mad,False,en,0,0,2021-02-22 16:55:46,1363895266684792832,"['hahahaha', 'hypocrite', 'stupid', 'lady', 'kangs', 'gone', 'mad']",hahahaha hypocrite stupid lady kangs gone mad
"RT @yuvinwooseok19: ✨𝗚𝗶𝘃𝗲 𝗮𝘄𝗮𝘆✨
🦊𝗣𝗼𝘀𝘁𝗰𝗮𝗿𝗱 𝗮𝗻𝗱 𝘀𝗹𝗼𝗴𝗮𝗻 🦊
     (𝟭 𝘀𝗲𝘁/ 𝟭 𝗽𝗲𝗿𝘀𝗼𝗻)
📍𝗟𝗼𝗰𝗮𝘁𝗶𝗼𝗻: 𝗜𝗻𝘁𝗼 𝘁𝗵𝗲 𝘄𝗼𝗼𝗱𝘀 𝗰𝗮𝗳𝗲
🗓𝗗𝗮𝘁𝗲 :𝟭𝟰.𝟬𝟯 .𝟮𝟬𝟮𝟭
⏰𝗧𝗶𝗺𝗲:𝗧𝗕𝗔…",False,en,0,5,2021-02-22 16:50:08,1363893849232347138,[],
We wuz da real kangs. https://t.co/8wQQSRBMWk https://t.co/XsiaTGw6Z9,True,en,2,0,2021-02-22 16:47:27,1363893173395877890,"['wuz', 'da', 'real', 'kangs']",wuz da real kangs
@fr3nnlon @Hydra1488 The animal kangs magazine? What issue was it?,False,en,2,0,2021-02-22 16:44:05,1363892328453332996,"['animal', 'kangs', 'magazine', 'issue']",animal kangs magazine issue
"@Aalsibohotjyada @leo_rebellious Yeh wala nasha karna hai,she still can't understand difference between item songs which doesn't have any relation with movies plot, whereas julmi julmi was a character demand in that film....and after 2014 queen's success,kangs didn't even do that ...",False,en,1,0,2021-02-22 16:38:54,1363891024301498368,"['yeh', 'wala', 'nasha', 'karna', 'hai', 'still', 'understand', 'difference', 'item', 'songs', 'relation', 'movies', 'plot', 'whereas', 'julmi', 'julmi', 'character', 'demand', 'film', '2014', 'queen', 'success', 'kangs', 'even']",yeh wala nasha karna hai still understand difference item songs relation movies plot whereas julmi julmi character demand film 2014 queen success kangs even
RT @yass93872077: Kangs is the only couple who survived it to s5 and we stan ☺️👀 https://t.co/8swaSUDvtU,False,en,0,3,2021-02-22 15:59:34,1363881123642761219,"['kangs', 'couple', 'survived', 's5', 'stan']",kangs couple survived s5 stan
"RT @victonln: 🎰𝕃𝕌ℂ𝕂𝕐  𝔻ℝ𝔸𝕎🎰

(𝟏 𝐁𝐈𝐋𝐋 / 𝟏 𝐋𝐔𝐂𝐊𝐘 𝐃𝐑𝐀𝐖)

🗓𝟯-𝟰 𝗔𝗣𝗥𝗜𝗟 𝟮𝟬𝟮𝟭
📍@GToastcafe 
Ⓜ️𝙼𝚁𝚃 𝚂𝙰𝙼𝚈𝙰𝙽 𝙴𝚇𝙸𝚃 𝟷
🕘𝙾𝙿𝙴𝙽 𝟿:𝟶𝟶 𝙰𝙼 - 𝟷𝟿:𝟶𝟶 𝙿𝙼

#CandyLov…",True,en,0,25,2021-02-22 15:22:58,1363871915459272713,['candylov'],candylov
RT @wrldbestboy: HEO CHAN FROM VICTON,False,en,0,492,2021-02-22 15:11:32,1363869036065398786,"['heo', 'chan', 'victon']",heo chan victon
@jSTAQc @skull_monkeys @was6i @kidwoohdaa @PrivateJacksxn @lporiginalg hobubo boo beeboo whipepo and pippuls an wes kangs!,False,en,1,0,2021-02-22 15:09:14,1363868457863811078,"['hobubo', 'boo', 'beeboo', 'whipepo', 'pippuls', 'wes', 'kangs']",hobubo boo beeboo whipepo pippuls wes kangs
honestly i’m down with any canon ship on rvd apart from bughead and kangs https://t.co/HlJis7x9iq,False,en,4,0,2021-02-22 15:01:03,1363866399773503488,"['honestly', 'canon', 'ship', 'rvd', 'apart', 'bughead', 'kangs']",honestly canon ship rvd apart bughead kangs
