tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,rating_pos,rating_neu,rating_neg,processed_text,cleaned_tweets
"🏆 RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

https://t.co/YxWUhUOWLD

#riverdale #varchie #bughead #choni #beronica #archosie #barchie #falice #mevin #kangs #cheronica #veggie https://t.co/mW2oUtMXJg",FALSE,en,12,2,2/23/2021 0:32,1.36401E+18,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.7125}",1,,,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'riverdale', 'varchie', 'bughead', 'choni', 'beronica', 'archosie', 'barchie', 'falice', 'mevin', 'kangs', 'cheronica', 'veggie']",riverdale best ship vote ur faves riverdale varchie bughead choni beronica archosie barchie falice mevin kangs cheronica veggie
"RT @deIenasx: wait I wanna do this too I’m bored 🙎🏼‍♀️

Vote: #Riverdale Best Ships* 
Time: 2 hours, 1:35 AM here (unless I fall asleep the…",FALSE,en,0,2,2/23/2021 0:31,1.36401E+18,"{'neg': 0.077, 'neu': 0.769, 'pos': 0.154, 'compound': 0.4767}",,1,,"['wait', 'wanna', 'bored', 'vote', 'riverdale', 'best', 'ships', 'time', '2', 'hours', '1', '35', 'unless', 'fall', 'asleep']",wait wanna bored vote riverdale best ships time 2 hours 1 35 unless fall asleep
"RT @deIenasx: 🏆 RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

#riverdale #varchie #bughead #choni #beronica #archosie #barchie #fali…",TRUE,en,0,1,2/22/2021 23:59,1.364E+18,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.7125}",1,,,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'riverdale', 'varchie', 'bughead', 'choni', 'beronica', 'archosie', 'barchie', 'fali']",riverdale best ship vote ur faves riverdale varchie bughead choni beronica archosie barchie fali
"Okay Falice/Alice stans, my newest oneshot Baby Blue is finally coming tomorrow! 
But until then, here’s the cover art and here is the song that it’s named after: https://t.co/yUmrIEYAcm https://t.co/Tol4oqtnUi",FALSE,en,15,1,2/22/2021 23:46,1.364E+18,"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.2942}",1,,,"['okay', 'falice', 'alice', 'stans', 'newest', 'oneshot', 'baby', 'blue', 'finally', 'coming', 'tomorrow', 'cover', 'art', 'song', 'named']",okay falice alice stans newest oneshot baby blue finally coming tomorrow cover art song named
"🏆 RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

#riverdale #varchie #bughead #choni #beronica #archosie #barchie #falice #mevin #kangs #cheronica https://t.co/LC6cvSQjU3",TRUE,en,5,1,2/22/2021 23:41,1.364E+18,"{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.7125}",1,,,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'riverdale', 'varchie', 'bughead', 'choni', 'beronica', 'archosie', 'barchie', 'falice', 'mevin', 'kangs', 'cheronica']",riverdale best ship vote ur faves riverdale varchie bughead choni beronica archosie barchie falice mevin kangs cheronica
"wait I wanna do this too I’m bored 🙎🏼‍♀️

Vote: #Riverdale Best Ships* 
Time: 2 hours, 1:35 AM here (unless I fall asleep then all night)

#varchie #bughead #choni #beronica #archosie #barchie #falice #mevin #kangs #cheronica 

https://t.co/YxWUhUOWLD",FALSE,en,6,2,2/22/2021 23:34,1.364E+18,"{'neg': 0.055, 'neu': 0.836, 'pos': 0.11, 'compound': 0.4767}",,1,,"['wait', 'wanna', 'bored', 'vote', 'riverdale', 'best', 'ships', 'time', '2', 'hours', '1', '35', 'unless', 'fall', 'asleep', 'night', 'varchie', 'bughead', 'choni', 'beronica', 'archosie', 'barchie', 'falice', 'mevin', 'kangs', 'cheronica']",wait wanna bored vote riverdale best ships time 2 hours 1 35 unless fall asleep night varchie bughead choni beronica archosie barchie falice mevin kangs cheronica
@VARCHIEWHORE @archiercnnie Falice endgame!!!!,FALSE,en,0,0,2/22/2021 22:17,1.36398E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,,,"['falice', 'endgame']",falice endgame
@VARCHIEWHORE @archiercnnie Bro I’m mad bc me and the falice stans get hate for nothing bc we ship who we ship like I don’t call varchie sex addicts do I,FALSE,en,1,0,2/22/2021 22:11,1.36397E+18,"{'neg': 0.201, 'neu': 0.727, 'pos': 0.073, 'compound': -0.6597}",,1,,"['bro', 'mad', 'bc', 'falice', 'stans', 'get', 'hate', 'nothing', 'bc', 'ship', 'ship', 'like', 'call', 'varchie', 'sex', 'addicts']",bro mad bc falice stans get hate nothing bc ship ship like call varchie sex addicts
i never cared for riverdale i cared about #falice and #barchie and camilla as a whole lol,FALSE,en,2,0,2/22/2021 21:37,1.36397E+18,"{'neg': 0.253, 'neu': 0.596, 'pos': 0.152, 'compound': -0.2177}",0.2,0.6,0.2,"['never', 'cared', 'riverdale', 'cared', 'falice', 'barchie', 'camilla', 'whole', 'lol']",never cared riverdale cared falice barchie camilla whole lol
"WATCH: Madchen Amick talks Riverdale Time Jump! https://t.co/hboGGk3M6r 

@madchenamick #barchie #falice #riverdale https://t.co/EH5UHmwRpJ",FALSE,en,1,0,2/22/2021 21:12,1.36396E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,"['watch', 'madchen', 'amick', 'talks', 'riverdale', 'time', 'jump', 'barchie', 'falice', 'riverdale']",watch madchen amick talks riverdale time jump barchie falice riverdale
