tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
@bettyarchics barchie: the endgame ship of betty cooper and archie andrews o... https://t.co/2EDscBQtwp https://t.co/B5BkjNSsms,False,en,7,0,2021-03-03 00:47:55,1366913192430088194,"['barchie', 'endgame', 'ship', 'betty', 'cooper', 'archie', 'andrews']",barchie endgame ship betty cooper archie andrews
"RT @cherisseng: Just when I thought #Riverdale is going nowhere, #Barchie finally happened. Now I have all the reasons to watch every episo…",False,en,0,27,2021-03-03 00:40:22,1366911292460646403,"['thought', 'riverdale', 'going', 'nowhere', 'barchie', 'finally', 'happened', 'reasons', 'watch', 'every', 'episo']",thought riverdale going nowhere barchie finally happened reasons watch every episo
RT @vcrchies: not barchie oomfs saying varchie is just sex..,False,en,0,1,2021-03-03 00:34:36,1366909838899478533,"['barchie', 'oomfs', 'saying', 'varchie', 'sex']",barchie oomfs saying varchie sex
RT @barchie2021: BETTY WAS THERE TO SEE ARCHIE. SHE WAS ASKING IF JUGHEAD WAS HOME TO CHECK IF THEY WERE GOING TO BE ALONE. #riverdale #bar…,False,en,0,2,2021-03-03 00:34:18,1366909763381063680,"['betty', 'see', 'archie', 'asking', 'jughead', 'home', 'check', 'going', 'alone', 'riverdale', 'bar']",betty see archie asking jughead home check going alone riverdale bar
RT @MegBonneyWriter: Now they are pretending to date!!?!!!!! #Barchie #Riverdale season 4 https://t.co/lTlC1l2fkM,False,en,0,26,2021-03-03 00:34:02,1366909696599326720,"['pretending', 'date', 'barchie', 'riverdale', 'season', '4']",pretending date barchie riverdale season 4
I don’t stan barchie BUT CHILE DONT BE TALKING OUT YA ASS HELPPP https://t.co/CFVDCKhe5A,True,en,0,0,2021-03-03 00:33:37,1366909593415274497,"['stan', 'barchie', 'chile', 'dont', 'talking', 'ya', 'ass', 'helppp']",stan barchie chile dont talking ya ass helppp
"RT @Chingch1me: Anyways, I knew that barchie hooked up but was too busy to tweet about them. I support this storyline so much, waited since…",False,en,0,5,2021-03-03 00:33:27,1366909548846600195,"['anyways', 'knew', 'barchie', 'hooked', 'busy', 'tweet', 'support', 'storyline', 'much', 'waited', 'since']",anyways knew barchie hooked busy tweet support storyline much waited since
RT @bar_endgame: I hope Jughead narrates a line like that in the future #Riverdale #Barchie @CW_Riverdale @ArchieComics https://t.co/bc9Ihv…,False,en,0,1,2021-03-03 00:33:05,1366909457716944902,"['hope', 'jughead', 'narrates', 'line', 'like', 'future', 'riverdale', 'barchie']",hope jughead narrates line like future riverdale barchie
@barcheated and barchie still won https://t.co/mev3llzKg6,False,en,2,0,2021-03-03 00:32:50,1366909396811448320,"['barchie', 'still']",barchie still
"RT @BingeRiverdale: In a February 2020 video for BuzzFeed, KJ Apa, Archie, declared his belief that the idea of Archie and Betty being endg…",False,en,0,1,2021-03-03 00:32:43,1366909364112678914,"['february', '2020', 'video', 'buzzfeed', 'kj', 'apa', 'archie', 'declared', 'belief', 'idea', 'archie', 'betty', 'endg']",february 2020 video buzzfeed kj apa archie declared belief idea archie betty endg
RT @RoselynKate15: Loving their hair contrast 😍 #barchie #Riverdale,True,en,0,0,2021-03-03 00:32:33,1366909324556140552,"['loving', 'hair', 'contrast', 'barchie', 'riverdale']",loving hair contrast barchie riverdale
"RT @stephanieppot: ✨ NEW #BARCHIE VIDEO ✨ They are unreal, I’m obsessed! #BARCHIETIMEJUMP #BarchieSeason5 #BarchieRising #Riverdale

▶ http…",False,en,0,3,2021-03-03 00:32:14,1366909244562436097,"['new', 'barchie', 'video', 'unreal', 'obsessed', 'barchietimejump', 'barchieseason5', 'barchierising', 'riverdale']",new barchie video unreal obsessed barchietimejump barchieseason5 barchierising riverdale
RT @itstheremixbabe: Ok for those that say that Archie doesn’t know how to comfort Betty eggsplain this 😌😌. Plz point me to a moment where…,False,en,0,1,2021-03-03 00:32:08,1366909218733883392,"['ok', 'say', 'archie', 'know', 'comfort', 'betty', 'eggsplain', 'plz', 'point', 'moment']",ok say archie know comfort betty eggsplain plz point moment
