tweets,quote_status,language,favorite_count,retweet_count,time,processed_text,cleaned_tweets
"A commission of “The Hunger” #bughead I got a while back for alpcacalypseart! I had wanted to post it round halloween but that was also when my computer decided to die on and off for 2 months and then I forgot. 8′)

Well I’m posting it now! 

#JugheadTheHunger https://t.co/TqxQfNQbjT",False,en,13,5,2021-02-26 21:37:07,"['commission', 'hunger', 'bughead', 'got', 'back', 'alpcacalypseart', 'wanted', 'post', 'round', 'halloween', 'also', 'computer', 'decided', 'die', '2', 'months', 'forgot', '8', 'well', 'posting', 'jugheadthehunger']",commission hunger bughead got back alpcacalypseart wanted post round halloween also computer decided die 2 months forgot 8 well posting jugheadthehunger
@Bughead_Support bughead https://t.co/zUoUwbz1T7,False,en,0,0,2021-02-26 21:36:46,['bughead'],bughead
RT @BestShipsInTheW: Jughead and Betty from Riverdale  https://t.co/hiOcsjSxxh,False,en,0,51,2021-02-26 21:36:34,"['jughead', 'betty', 'riverdale']",jughead betty riverdale
RT @smugheadjones: they don’t talk about anything https://t.co/Op9oMjZAaP,True,en,0,5,2021-02-26 21:35:28,"['talk', 'anything']",talk anything
@azalben Alex yu down bad 🤣🤦🏾‍♀️. we need bughead back after hiatus . https://t.co/4r2Q3uKPik,False,en,0,0,2021-02-26 21:34:56,"['alex', 'yu', 'bad', 'need', 'bughead', 'back', 'hiatus']",alex yu bad need bughead back hiatus
@Bughead_Support Bughead😌,False,en,0,0,2021-02-26 21:34:02,['bughead'],bughead
"@Bughead_Support Bughead
https://t.co/zzs2RlPW9j",False,en,1,0,2021-02-26 21:33:58,['bughead'],bughead
@CW_Riverdale nah bughead endgame. they look so disconnected,False,en,2,0,2021-02-26 21:32:34,"['nah', 'bughead', 'endgame', 'look', 'disconnected']",nah bughead endgame look disconnected
RT @BugheadUpdates: This was probably the best moment in the Bughead fandom. It's gonna be so much better when they get back together #Rive…,False,en,0,43,2021-02-26 21:31:46,"['probably', 'best', 'moment', 'bughead', 'fandom', 'gonna', 'much', 'better', 'get', 'back', 'together', 'rive']",probably best moment bughead fandom gonna much better get back together rive
@Bughead_Support bughead 😼,False,en,0,0,2021-02-26 21:31:06,['bughead'],bughead
RT @bcttyronnie: naley x bughead parallels; a thread https://t.co/AcO16Cm97s,False,en,0,10,2021-02-26 21:30:53,"['naley', 'x', 'bughead', 'parallels', 'thread']",naley x bughead parallels thread
@Bughead_Support bughead.,False,en,0,0,2021-02-26 21:23:17,['bughead'],bughead
"RT @MidwestRambling: As a person who does in fact ship Bughead, I must admit these Barchie scenes are hotter than the OG couples... and tha…",False,en,0,12,2021-02-26 21:23:14,"['person', 'fact', 'ship', 'bughead', 'must', 'admit', 'barchie', 'scenes', 'hotter', 'og', 'couples', 'tha']",person fact ship bughead must admit barchie scenes hotter og couples tha
@Bughead_Support Bughead love them https://t.co/n51uJGe2Xa,False,en,0,0,2021-02-26 21:20:47,"['bughead', 'love']",bughead love
