tweets,quote_status,language,favorite_count,retweet_count,time
"What the FUCK is this 
Before I judged people who watched Riverdale now I'm going to get aggressive https://t.co/Ybctyve9Sz",True,en,1,0,2021-02-26 21:30:20
"RT @BUGGIEDALE: calling one couple a  ""chemistry waste"" when THIS excited while their ""chemistry"" was wasting is just embarrassing. 
#River…",False,en,0,24,2021-02-26 21:30:17
Kinda homophobic that I have to wait 2 weeks till new riverdale episode 😐,False,en,1,0,2021-02-26 21:29:47
riverdale’s continued commentary on the dismissal of the heinous crimes of football teams so true,False,en,0,0,2021-02-26 21:29:40
"RT @chonigif: ""You're playing a very dangerous game, Topaz.""
[5x06] #riverdale #choni https://t.co/ybVxmeM6U9",False,en,0,145,2021-02-26 21:29:29
"RT @FBI: Nicholas Morris and Joshua Bobbitt are #wanted by the #FBI for their alleged involvement in a vehicular homicide in Riverdale, Ill…",False,en,0,328,2021-02-26 21:29:19
"@nominatelucia @lunaxgotchi @sag1terrorist @xo__kiagold @earfmuva i really do hope thats not the case cuz i did love season 1, i hope it doesnt turn into another riverdale",False,en,1,0,2021-02-26 21:29:15
RT @BugheadUpdates: Most underrated Bughead scene? #Riverdale https://t.co/9zjR31F1qB,False,en,0,33,2021-02-26 21:29:13
"Madeline Petsch, Ashleigh Murray, and Hayley Law are like. the best actors on riverdale.",False,en,0,0,2021-02-26 21:28:54
RT @glowtemps: #barchie KJ and Lili‘s chemistry is so so good! If the writers ruin this fresh and amazing couple only to return to the old…,False,en,0,47,2021-02-26 21:28:51
@alwaysdislove I only watch riverdale cause of choni,False,en,1,0,2021-02-26 21:28:50
"Juan spoiled Riverdale, what is life",False,en,0,0,2021-02-26 21:28:50
RT @mybarchie: i’m still shocked that riverdale had barchie’s chemistry this whole time and only after 4 years did they finally explore it.…,False,en,0,45,2021-02-26 21:28:42
@bcttslodge @CW_Riverdale so true,False,en,0,0,2021-02-26 21:28:40
The whole album had us on a fuck a bitch mood but Riverdale Road Return left us simpinnnnn!! @iamlivingdead you did that shit!! https://t.co/MSG0761Muh,True,en,1,1,2021-02-26 21:28:32
RT @BarchieUpdates: They outsold in every category #Riverdale https://t.co/LD7bpRTXY5,False,en,0,49,2021-02-26 21:28:30
RT @hyuckrainbow: netflix basta de actualizar pelotudeces como riverdale Y ACTUALIZAME ANNE WITH AN E,False,en,0,3,2021-02-26 21:28:08
"RT @archbctty: And you'd be standin' in my front porch light,
And I knew you'd come back to me

#Barchie #Riverdale https://t.co/zn4BOVZTIS",False,en,0,18,2021-02-26 21:27:47
"RT @bestarchiebetty: ""Let's go upstair""

Archie and Betty exude desire for each other! Well...look at that beauty 🔥

#Riverdale #Barchie ht…",False,en,0,15,2021-02-26 21:27:39
society if riverdale had an intro like the pretty little liars one,False,en,0,0,2021-02-26 21:27:36
"RT @bestarchiebetty: ""Maybe I can distract you"" 

The contrast of the coloring of Archie and Betty's hair is something so beautiful, its he…",False,en,0,15,2021-02-26 21:27:22
did i just rewrite season 5 of riverdale on the spot to my best friend? yes tf i did-,False,en,2,1,2021-02-26 21:27:22
"RT @rivusqs: hello, i’m new in here so i’m looking for mutuals of:

-ftws
-teen wolf
-riverdale
-spiderman
-zendaya
-timothée chalamet
-har…",False,en,0,4,2021-02-26 21:27:08
"RT @barchiedestiny: JUST ME??

#Riverdale #Barchie https://t.co/QZjpTOanSC",False,en,0,18,2021-02-26 21:26:42
I've just watched episode S02 | E14 of Riverdale! #Riverdale  https://t.co/B0n7MVP9lR #tvtime https://t.co/4lAQbpAfTO,False,en,0,0,2021-02-26 21:26:13
"RT @reinhartbrina: why is riverdale season 5 just full of ""you can't outdo the doer"" scenes https://t.co/K74EKr1iHv",False,en,0,157,2021-02-26 21:25:18
RT @medievaIswords: riverdale woke as fuck for taking the classic 'teen girl gets murdered and it forever changes a small town' and making…,False,en,0,4,2021-02-26 21:25:08
Who needs film school when we’ve got #Riverdale? https://t.co/zs5XrNMyRm,False,en,7,0,2021-02-26 21:25:04
riverdale is literally the definition of camp,False,en,0,0,2021-02-26 21:24:45
RT @BugheadUpdates: This hurt a little... #Riverdale https://t.co/LHwdb6dpeX,False,en,0,39,2021-02-26 21:24:07
RT @steph0sims: i can’t believe riverdale exists,False,en,0,65,2021-02-26 21:24:00
@chonistan420 oh no im getting doxxed on riverdale twitter,False,en,1,0,2021-02-26 21:23:54
