tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
@shslluck oh thank jughead i wasnt sure if RAS was ending the ep on jarchie turbohell to be a bitch as we all wait til july to find out what happene to them,False,en,1,0,2021-02-25 23:46:43,1365085849738567683,"['oh', 'thank', 'jughead', 'wasnt', 'sure', 'ras', 'ending', 'ep', 'jarchie', 'turbohell', 'bitch', 'wait', 'til', 'july', 'find', 'happene']",oh thank jughead wasnt sure ras ending ep jarchie turbohell bitch wait til july find happene
why r straight rvd fans always arguing abt ships JARCHIE ALMOST DIED???,False,en,1,0,2021-02-25 23:43:40,1365085083741298688,"['r', 'straight', 'rvd', 'fans', 'always', 'arguing', 'abt', 'ships', 'jarchie', 'almost', 'died']",r straight rvd fans always arguing abt ships jarchie almost died
THE END OF 5X06... JARCHIE GOES TO TURBOHELL??!,False,en,2,0,2021-02-25 23:35:19,1365082981459587077,"['end', '5x06', 'jarchie', 'goes', 'turbohell']",end 5x06 jarchie goes turbohell
what the heck this domestic jarchie moment,False,en,3,0,2021-02-25 22:39:54,1365069034472042503,"['heck', 'domestic', 'jarchie', 'moment']",heck domestic jarchie moment
@rcnniekins the jarchie varchie solidarity is real https://t.co/iHxqmWiO7S,False,en,2,0,2021-02-25 19:57:47,1365028238259609603,"['jarchie', 'varchie', 'solidarity', 'real']",jarchie varchie solidarity real
my jarchie moots literally always on another plane of existence sorry het-shippers y’all can never and will never reach them,False,en,26,0,2021-02-25 19:52:59,1365027028550840320,"['jarchie', 'moots', 'literally', 'always', 'another', 'plane', 'existence', 'sorry', 'het', 'shippers', 'never', 'never', 'reach']",jarchie moots literally always another plane existence sorry het shippers never never reach
Gladys jarchie shipper hermosa beronica shipper😍,False,en,0,0,2021-02-25 19:22:23,1365019327901138944,"['gladys', 'jarchie', 'shipper', 'hermosa', 'beronica', 'shipper']",gladys jarchie shipper hermosa beronica shipper
"RT @mcbelz: ICYMI Facebook COO Sheryl Sandberg, self-described 'friend to many women' and #leanin pro, OK'd blocking the YPG/YPJ on FB in T…",True,en,0,7,2021-02-25 19:06:11,1365015250345467905,"['icymi', 'facebook', 'coo', 'sheryl', 'sandberg', 'self', 'described', 'friend', 'many', 'women', 'leanin', 'pro', 'ok', 'blocking', 'ypg', 'ypj', 'fb']",icymi facebook coo sheryl sandberg self described friend many women leanin pro ok blocking ypg ypj fb
bughead* jarchie was cute but varchie or whatever it’s called ain’t it https://t.co/mWAGUCEore,True,en,1,0,2021-02-25 18:38:10,1365008202006462465,"['bughead', 'jarchie', 'cute', 'varchie', 'whatever', 'called']",bughead jarchie cute varchie whatever called
this episode said jarchie rights,False,en,0,0,2021-02-25 18:38:00,1365008161367801861,"['episode', 'said', 'jarchie', 'rights']",episode said jarchie rights
@riverindale the stoner jarchie fic i have sitting in my drafts is typing...,False,en,3,0,2021-02-25 18:31:26,1365006506517663745,"['stoner', 'jarchie', 'fic', 'sitting', 'drafts', 'typing']",stoner jarchie fic sitting drafts typing
OMG ARCHIE’S HOUSE IS ON FIRE 😭 Jarchie together in a house fire 😭 #riverdale,False,en,0,0,2021-02-25 18:17:22,1365002965451440130,"['omg', 'archie', 'house', 'fire', 'jarchie', 'together', 'house', 'fire', 'riverdale']",omg archie house fire jarchie together house fire riverdale
@RiverdaleDark do you think britta will be involved in the mysteries somehow? also love the podcast pls say jarchie endgame,False,en,3,0,2021-02-25 18:15:16,1365002439305416705,"['think', 'britta', 'involved', 'mysteries', 'somehow', 'also', 'love', 'podcast', 'pls', 'say', 'jarchie', 'endgame']",think britta involved mysteries somehow also love podcast pls say jarchie endgame
THE END WHO IS TRYNA BURN JARCHIE ????????? i love this show,False,en,1,0,2021-02-25 17:50:56,1364996314895839235,"['end', 'tryna', 'burn', 'jarchie', 'love', 'show']",end tryna burn jarchie love show
"@jarchie Thanks.

The consensus seems to be that I need a secretary.",False,en,2,0,2021-02-25 16:52:25,1364981588946280450,"['thanks', 'consensus', 'seems', 'need', 'secretary']",thanks consensus seems need secretary
i still can’t believe jarchie roommates happened,False,en,0,0,2021-02-25 16:47:35,1364980370790350849,"['still', 'believe', 'jarchie', 'roommates', 'happened']",still believe jarchie roommates happened
"JARCHIE ROOMATES WHO ARE ALSO BFS ERA!!!! ""GOOD NIGHG MY SWEET PRINCE"" ARE U KIDDINH MEEEE",False,en,0,0,2021-02-25 16:46:27,1364980088396255234,"['jarchie', 'roomates', 'also', 'bfs', 'era', 'good', 'nighg', 'sweet', 'prince', 'u', 'kiddinh', 'meeee']",jarchie roomates also bfs era good nighg sweet prince u kiddinh meeee
30 seconds in and Jarchie slays b*ghead and b*rchie chemistry 🔥,False,en,0,0,2021-02-25 16:45:11,1364979766831550470,"['30', 'seconds', 'jarchie', 'slays', 'b', 'ghead', 'b', 'rchie', 'chemistry']",30 seconds jarchie slays b ghead b rchie chemistry
GOODNIGHT MY SWEET PRINCE!! Oh my god this Jarchie scene is so f domestic. Shut up!!! #riverdale,False,en,1,0,2021-02-25 16:44:21,1364979560530538497,"['goodnight', 'sweet', 'prince', 'oh', 'god', 'jarchie', 'scene', 'f', 'domestic', 'shut', 'riverdale']",goodnight sweet prince oh god jarchie scene f domestic shut riverdale
"@kat__writes YES, the #Jarchie! 😊",False,en,1,0,2021-02-25 16:29:17,1364975766014857216,"['yes', 'jarchie']",yes jarchie
"@DeanAbbott Space those tasks out between other tasks.  When possible, partner with those who are good at fine details but need your strengths. Give yourself grace.  Don't give up on getting better, but be realistic.",False,en,1,0,2021-02-25 16:11:56,1364971400981700608,"['space', 'tasks', 'tasks', 'possible', 'partner', 'good', 'fine', 'details', 'need', 'strengths', 'give', 'grace', 'give', 'getting', 'better', 'realistic']",space tasks tasks possible partner good fine details need strengths give grace give getting better realistic
RT @timkellernyc: Tolerance can't include hating people you think are intolerant. It's about how your beliefs lead you to treat those peopl…,False,en,0,389,2021-02-25 16:03:49,1364969356082311168,"['tolerance', 'include', 'hating', 'people', 'think', 'intolerant', 'beliefs', 'lead', 'treat', 'peopl']",tolerance include hating people think intolerant beliefs lead treat peopl
